ArylHalide_CX_Lowdin,ArylHalide_C_Chem Shift,ArylHalide_C_Electrostatic,ArylHalide_C_Exposed Area,ArylHalide_C_Mulliken,ArylHalide_XY_Chem Shift_Max,ArylHalide_XY_Chem Shift_Min,ArylHalide_XY_Electrostatic_Max,ArylHalide_XY_Electrostatic_Min,ArylHalide_XY_Exposed Area_Avg,ArylHalide_XY_Exposed Area_Max,ArylHalide_XY_Exposed Area_Min,ArylHalide_XY_Length_Max,ArylHalide_XY_Length_Min,ArylHalide_XY_Lowdin_Avg,ArylHalide_XY_Lowdin_Max,ArylHalide_XY_Lowdin_Min,ArylHalide_XY_Mulliken_Bond_Avg,ArylHalide_XY_Mulliken_Bond_Max,ArylHalide_XY_Mulliken_Bond_Min,ArylHalide_XY_Mulliken_Max,ArylHalide_XY_Mulliken_Min,ArylHalide_XY_Natural_Max,ArylHalide_XY_Natural_Min,ArylHalide_X_Electrostatic,ArylHalide_X_Mulliken,Electrophile,Electrophile_inchi,Kraken_E_oxidation_boltz,Kraken_E_solv_cds_boltz,Kraken_E_solv_elstat_boltz,Kraken_E_solv_total_boltz,Kraken_Pint_P_max_boltz,Kraken_Pint_P_min_boltz,Kraken_Pint_dP_boltz,Kraken_dipolemoment_boltz,Kraken_dipolemoment_delta,Kraken_dipolemoment_max,Kraken_dipolemoment_min,Kraken_dipolemoment_vburminconf,Kraken_efg_amp_P_boltz,Kraken_efgtens_xx_P_boltz,Kraken_efgtens_yy_P_boltz,Kraken_fmo_e_homo_boltz,Kraken_fmo_e_lumo_boltz,Kraken_fmo_eta_boltz,Kraken_fmo_mu_boltz,Kraken_fukui_p_boltz,Kraken_nbo_P_boltz,Kraken_nbo_P_ra_boltz,Kraken_nbo_P_rc_boltz,Kraken_nbo_bd_e_max_boltz,Kraken_nbo_bd_occ_avg_boltz,Kraken_nbo_bd_occ_min_boltz,Kraken_nbo_bds_e_avg_boltz,Kraken_nbo_bds_e_min_boltz,Kraken_nbo_bds_occ_avg_boltz,Kraken_nbo_bds_occ_max_boltz,Kraken_nbo_lp_P_e_boltz,Kraken_nbo_lp_P_occ_boltz,Kraken_nbo_lp_P_percent_s_boltz,Kraken_nmr_P_boltz,Kraken_nmrtens_sxx_P_boltz,Kraken_nmrtens_szz_P_boltz,Kraken_nuesp_P_boltz,Kraken_pyr_P_boltz,Kraken_pyr_P_delta,Kraken_pyr_P_max,Kraken_pyr_P_min,Kraken_pyr_P_vburminconf,Kraken_qpole_amp_boltz,Kraken_qpole_amp_delta,Kraken_qpole_amp_max,Kraken_qpole_amp_min,Kraken_qpole_amp_vburminconf,Kraken_qpoletens_xx_delta,Kraken_qpoletens_yy_boltz,Kraken_qpoletens_yy_delta,Kraken_qpoletens_yy_max,Kraken_qpoletens_yy_min,Kraken_qpoletens_yy_vburminconf,Kraken_qpoletens_zz_boltz,Kraken_qpoletens_zz_delta,Kraken_qpoletens_zz_max,Kraken_qpoletens_zz_min,Kraken_qpoletens_zz_vburminconf,Kraken_somo_rc_boltz,Kraken_sphericity_boltz,Kraken_spindens_P_ra_boltz,Kraken_sterimol_B1_delta,Kraken_sterimol_B1_max,Kraken_sterimol_B1_vburminconf,Kraken_sterimol_B5_boltz,Kraken_sterimol_B5_delta,Kraken_sterimol_B5_max,Kraken_sterimol_B5_min,Kraken_sterimol_B5_vburminconf,Kraken_sterimol_L_boltz,Kraken_sterimol_L_delta,Kraken_sterimol_L_max,Kraken_sterimol_L_min,Kraken_sterimol_L_vburminconf,Kraken_sterimol_burB1_boltz,Kraken_sterimol_burB1_delta,Kraken_sterimol_burB1_max,Kraken_sterimol_burB1_min,Kraken_sterimol_burB1_vburminconf,Kraken_sterimol_burB5_boltz,Kraken_sterimol_burB5_delta,Kraken_sterimol_burB5_max,Kraken_sterimol_burB5_min,Kraken_sterimol_burB5_vburminconf,Kraken_sterimol_burL_boltz,Kraken_sterimol_burL_delta,Kraken_sterimol_burL_max,Kraken_sterimol_burL_min,Kraken_sterimol_burL_vburminconf,Kraken_vbur_far_vbur_min,Kraken_vbur_far_vtot_min,Kraken_vbur_far_vtot_vburminconf,Kraken_vbur_max_delta_qvbur_min,Kraken_vbur_max_delta_qvbur_vburminconf,Kraken_vbur_max_delta_qvtot_boltz,Kraken_vbur_max_delta_qvtot_delta,Kraken_vbur_max_delta_qvtot_min,Kraken_vbur_max_delta_qvtot_vburminconf,Kraken_vbur_near_vbur_delta,Kraken_vbur_near_vbur_max,Kraken_vbur_near_vtot_boltz,Kraken_vbur_near_vtot_delta,Kraken_vbur_ovbur_max_delta,Kraken_vbur_ovbur_max_max,Kraken_vbur_ovbur_min_boltz,Kraken_vbur_ovbur_min_max,Kraken_vbur_ovtot_max_boltz,Kraken_vbur_ovtot_max_delta,Kraken_vbur_ovtot_max_min,Kraken_vbur_ovtot_min_boltz,Kraken_vbur_ovtot_min_max,Kraken_vbur_qvbur_max_min,Kraken_vbur_qvbur_min_boltz,Kraken_vbur_qvbur_min_max,Kraken_vbur_qvbur_min_min,Kraken_vbur_qvbur_min_vburminconf,Kraken_vbur_qvtot_max_boltz,Kraken_vbur_qvtot_max_delta,Kraken_vbur_qvtot_min_boltz,Kraken_vbur_qvtot_min_delta,Kraken_vbur_qvtot_min_max,Kraken_vbur_qvtot_min_min,Kraken_vbur_qvtot_min_vburminconf,Kraken_vbur_ratio_vbur_vtot_boltz,Kraken_vbur_vbur_boltz,Kraken_vbur_vbur_max,Kraken_vbur_vbur_min,Kraken_vbur_vtot_boltz,Kraken_vmin_r_boltz,Kraken_vmin_vmin_boltz,Ligand,Ligand_inchi,Product_inchi,Solvent_inchi,Yield
1.09,129.449,0.124,7.356,0.004,120.935,118.065,-0.177,-0.341,13.589,13.704,13.474,1.406,1.389,1.46,1.51,1.41,1.405,1.44,1.37,-0.164,-0.222,-0.23,-0.249,-0.102,-0.086,5-Bromobenzofuran,InChI=1S/C8H5BrO/c9-7-1-2-8-6(5-7)3-4-10-8/h1-5H,0.25780085,-8.933204,-8.559234,-17.492437,38.022724,12.9117155,4.516962,0.91118664,2.5727983,3.289474,0.7166757,2.9442296,1.7468917,-0.8113137,-0.61028343,-0.2133234,-0.016923387,0.19640002,-0.1151234,0.015794527,0.79641163,0.7806171,1.1521657,-0.4313608,1.9535558,1.9477074,0.21984933,0.20976824,0.034629457,0.038602494,-0.29581267,1.9326617,51.485657,300.97235,274.02673,326.07596,-54.20374,0.9311966,0.10082866,0.94401443,0.8431857,0.87867785,8.89442,3.140208,9.871608,6.7314005,6.8928375,3.5640683,1.6366326,4.5948505,2.200549,-2.3943014,-0.3355157,-6.93284,3.9596057,-3.5301368,-7.4897428,-4.6975455,-0.35695234,0.7326184,0.02007792,0.83883303,4.950248,4.404915,7.26101,1.0898415,7.6885123,6.598671,7.2112565,7.7829337,2.7088182,10.187025,7.4782066,10.139501,4.4509535,0.9716648,4.9435754,3.9719105,4.3538327,7.156276,0.93823797,7.2873244,6.3490863,7.021625,7.3066425,1.3360304,8.361404,7.025374,7.424874,0,0,0,2.3302755,5.776531,93.011024,54.33211,75.321144,96.07462,15.975147,72.84935,381.22736,87.59934,6.088211,22.399094,0.000104839,0.28866968,130.25803,49.48595,118.24307,0.000103965,0.28581595,16.310883,12.62746,14.302746,11.308321,11.308321,179.368,42.240204,60.381855,22.809929,75.82877,53.018845,63.632145,0.22017539,101.09386,104.66995,56.874203,459.16458,1.7985951,-0.06630272,S-Phos,"InChI=1S/C26H35O2P/c1-27-23-17-11-18-24(28-2)26(23)22-16-9-10-19-25(22)29(20-12-5-3-6-13-20)21-14-7-4-8-15-21/h9-11,16-21H,3-8,12-15H2,1-2H3","InChI=1S/C8H7BO3/c10-9(11)7-1-2-8-6(5-7)3-4-12-8/h1-5,10-11H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",74.02
1.09,129.449,0.124,7.356,0.004,120.935,118.065,-0.177,-0.341,13.589,13.704,13.474,1.406,1.389,1.46,1.51,1.41,1.405,1.44,1.37,-0.164,-0.222,-0.23,-0.249,-0.102,-0.086,5-Bromobenzofuran,InChI=1S/C8H5BrO/c9-7-1-2-8-6(5-7)3-4-10-8/h1-5H,0.28110775,-8.218373,-4.610049,-12.828423,32.843647,12.598033,3.754955,1.282877,0.2277789,1.4033333,1.1755544,1.3526772,1.7140776,-0.79762274,-0.5971126,-0.22812113,-0.02278329,0.20533784,-0.1254522,0.05395578,0.7778854,0.7239296,1.307214,-0.43958774,1.9549913,1.9481524,0.21072224,0.19860247,0.034067657,0.039628714,-0.30365917,1.935671,50.698418,292.32028,260.91833,317.75446,-54.195396,0.9279896,0.072208256,0.94734365,0.87513536,0.87513536,4.9475546,3.7692282,7.734826,3.9655979,6.4938436,1.1012218,0.18946439,2.9566293,2.315826,-0.6408035,1.6962553,-3.5745928,3.800313,-2.445967,-6.24628,-5.1986494,-0.40556335,0.7781082,0.055159535,1.1536936,4.5932574,4.5064864,6.744885,0.48474258,6.8094497,6.324707,6.5858274,7.819549,0.20202571,7.8611155,7.65909,7.696081,4.188142,1.0410998,4.480664,3.4395638,4.278166,6.354101,0.45067742,6.4939504,6.043273,6.137342,7.3311243,0.21683872,7.398709,7.18187,7.232378,0,0,0,3.027894,3.027894,35.36812,29.314745,26.28887,26.28887,12.555039,64.35556,316.83545,14.279992,7.024296,21.859407,0,0,96.91784,8.502298,92.326706,0,0,14.835112,11.626985,12.813378,10.013492,11.413958,96.91792,7.411164,55.995228,26.490627,63.916744,37.426117,59.15918,0.17484924,55.54337,69.44284,51.800518,317.6658,1.8028295,-0.059781846,PPhCy2,"InChI=1S/C18H27P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1,4-5,10-11,17-18H,2-3,6-9,12-15H2","InChI=1S/C8H7BO3/c10-9(11)7-1-2-8-6(5-7)3-4-12-8/h1-5,10-11H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",76.4
1.12,140.849,-0.018,7.329,0.02,121.305,114.841,-0.069,-0.183,13.5795,13.585,13.574,1.397,1.394,1.445,1.45,1.44,1.39,1.39,1.39,-0.15,-0.216,-0.261,-0.311,-0.013,-0.036,4-Bromo-2-fluorobenzonitrile,InChI=1S/C7H3BrFN/c8-6-2-1-5(4-10)7(9)3-6/h1-3H,0.26095855,-9.642707,-7.3405666,-16.983274,37.407764,12.869085,4.3650537,1.0860808,1.9943488,2.8720412,0.8776925,2.0621624,1.761883,-0.8270262,-0.6058545,-0.2157829,-0.023575164,0.19220772,-0.11967903,0.011609354,0.7989617,0.7873523,1.1547893,-0.43518358,1.95364,1.9469118,0.21653922,0.20676853,0.035187423,0.039730925,-0.29818875,1.9301343,51.298294,302.00116,276.85846,326.42004,-54.200443,0.9289762,0.0766236,0.9473882,0.87076455,0.8828501,7.1673913,7.5297685,11.383809,3.8540401,9.165736,6.242908,-0.387205,2.2509043,0.6548634,-1.596041,-0.3019385,-4.84421,4.352415,-2.91011,-7.262525,-6.324908,-0.36667377,0.7411316,0.014747757,1.1176764,4.983015,4.393496,6.9312134,1.3272235,7.7802925,6.4530687,7.254723,7.7967725,2.7995214,10.25342,7.453898,9.351229,4.2803793,1.0306772,4.8960156,3.8653386,4.339781,6.5588994,1.4893705,7.551218,6.061847,6.3944063,7.318406,1.2632294,8.308553,7.0453234,8.241184,0,0,0,2.4934368,5.1929164,80.51073,91.59686,49.378113,99.56133,22.434654,79.22519,358.87347,85.24423,6.0997157,22.399094,0.000134576,0.2876238,117.51761,62.91439,108.01982,9.11E-05,0.27878278,16.299377,12.323929,15.689615,10.020812,11.514364,164.88876,61.4485,59.1958,31.31334,79.87651,48.56317,58.963654,0.22903685,98.641106,117.55236,56.79053,430.68256,1.7972353,-0.0625114,Cy-JohnPhos-OMe,"InChI=1S/C25H33OP/c1-26-24-18-10-8-16-22(24)23-17-9-11-19-25(23)27(20-12-4-2-5-13-20)21-14-6-3-7-15-21/h8-11,16-21H,2-7,12-15H2,1H3","InChI=1S/C7H5BFNO2/c9-7-3-6(8(11)12)2-1-5(7)4-10/h1-3,11-12H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",72.04
1.12,140.849,-0.018,7.329,0.02,121.305,114.841,-0.069,-0.183,13.5795,13.585,13.574,1.397,1.394,1.445,1.45,1.44,1.39,1.39,1.39,-0.15,-0.216,-0.261,-0.311,-0.013,-0.036,4-Bromo-2-fluorobenzonitrile,InChI=1S/C7H3BrFN/c8-6-2-1-5(4-10)7(9)3-6/h1-3H,0.24931352,-10.649541,-7.2653737,-17.914915,40.20517,13.068405,4.6817064,0.8171519,1.4737314,2.1631606,0.68942904,1.7882719,1.7764745,-0.8379368,-0.6063672,-0.20631045,-0.023277396,0.18303306,-0.11479393,0.014265155,0.81630164,0.80203646,0.9784014,-0.4313696,1.9528165,1.9470966,0.2192305,0.21133822,0.036091678,0.041694205,-0.29510477,1.9306693,52.00459,299.4342,274.43423,328.73785,-54.20285,0.9310819,0.0789368,0.9523341,0.8733973,0.8881274,4.7791033,5.6052384,7.8769884,2.2717497,7.8769884,3.6457553,0.049289513,2.368669,1.9857839,-0.38288507,0.98954886,-3.3909528,4.227294,-1.7710307,-5.998325,-5.998325,-0.34526438,0.74132514,0.014648549,1.1525527,5.1214166,4.992833,7.7317324,1.394375,8.14274,6.7483654,7.906785,7.735165,3.0510886,10.433515,7.382426,9.246177,4.7293797,0.9637953,4.932659,3.968864,4.779161,6.572514,1.5118923,7.850955,6.339063,6.4077687,7.285463,1.3081998,8.216944,6.9087434,7.992698,0,0,0,2.2466033,2.2466033,103.494934,65.224014,85.37769,96.84356,21.770506,80.30875,416.02295,101.60699,6.407212,22.449297,0.004209073,0.5982575,152.14357,66.18097,128.94019,0.003828159,0.80816567,16.042086,13.801399,17.443598,9.967471,13.084268,201.7983,47.032356,65.84758,40.24317,84.57075,44.327576,83.522644,0.21864541,108.68818,124.748184,58.53824,497.1065,1.7841574,-0.06366999,CPhos,"InChI=1S/C28H41N2P/c1-29(2)25-19-13-20-26(30(3)4)28(25)24-18-11-12-21-27(24)31(22-14-7-5-8-15-22)23-16-9-6-10-17-23/h11-13,18-23H,5-10,14-17H2,1-4H3","InChI=1S/C7H5BFNO2/c9-7-3-6(8(11)12)2-1-5(7)4-10/h1-3,11-12H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",36.76
1.12,140.849,-0.018,7.329,0.02,121.305,114.841,-0.069,-0.183,13.5795,13.585,13.574,1.397,1.394,1.445,1.45,1.44,1.39,1.39,1.39,-0.15,-0.216,-0.261,-0.311,-0.013,-0.036,4-Bromo-2-fluorobenzonitrile,InChI=1S/C7H3BrFN/c8-6-2-1-5(4-10)7(9)3-6/h1-3H,0.25886387,-9.122384,-7.698274,-16.820658,36.185394,12.795276,4.2182026,1.9103298,3.3454678,4.075715,0.73024714,4.058388,1.773167,-0.85137284,-0.58841133,-0.21084635,-0.01965276,0.1911936,-0.11524956,-0.019147301,0.78156567,0.800713,1.0143197,-0.43506628,1.9555848,1.9485883,0.22149839,0.20771769,0.037388746,0.04706143,-0.29872125,1.9326276,50.658737,321.2327,283.24164,364.3199,-54.19914,0.934032,0.08618457,0.9539586,0.86777395,0.86777395,9.271626,7.85728,12.752393,4.895113,9.701963,6.446257,0.2578713,4.73471,1.5544318,-3.1802788,-3.1802788,-6.542995,4.2117906,-3.3038836,-7.515674,-4.6930456,-0.35759205,0.7442678,0.014042345,1.1251994,4.9127584,4.582615,6.9720426,1.3904053,7.763679,6.3732734,6.7525253,7.669683,3.5076025,10.4044,6.8967977,10.4044,4.226222,1.3272238,4.9127584,3.5855343,4.533037,6.648161,1.4645458,7.494268,6.029722,6.3666463,7.209439,1.5879246,8.246814,6.658889,8.095597,0,0,0,3.1000614,4.4817014,76.89439,87.65595,54.104996,66.54747,22.85197,78.308975,344.22186,81.41424,6.6425405,22.340523,0.001284741,0.14119713,109.72723,61.129013,99.79737,0.001308149,0.14476687,15.697983,11.7452,16.089151,9.78653,11.511227,160.50443,56.08614,56.39792,36.470108,79.262344,42.792236,65.31326,0.2216867,92.01543,109.966415,55.457,415.06253,1.8017542,-0.061978918,CX-POMeCy,"InChI=1S/C23H32NOP/c1-25-22-16-9-8-15-21(22)24-18-10-17-23(24)26(19-11-4-2-5-12-19)20-13-6-3-7-14-20/h8-10,15-20H,2-7,11-14H2,1H3","InChI=1S/C7H5BFNO2/c9-7-3-6(8(11)12)2-1-5(7)4-10/h1-3,11-12H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",74.62
1.12,140.849,-0.018,7.329,0.02,121.305,114.841,-0.069,-0.183,13.5795,13.585,13.574,1.397,1.394,1.445,1.45,1.44,1.39,1.39,1.39,-0.15,-0.216,-0.261,-0.311,-0.013,-0.036,4-Bromo-2-fluorobenzonitrile,InChI=1S/C7H3BrFN/c8-6-2-1-5(4-10)7(9)3-6/h1-3H,0.29836786,-2.2016509,-2.8070712,-5.0087223,26.420633,11.386293,3.0649695,1.279253,0.07482421,1.3352501,1.2604259,1.3352501,1.6900908,-0.6951699,-0.6847548,-0.23061511,0.036187805,0.2668029,-0.09721365,0.12935671,0.73288405,0.6035273,1.3311203,-0.45024553,1.9700521,1.9694186,0.20175385,0.20055148,0.026284173,0.027816784,-0.31789196,1.9537629,53.79207,315.69986,298.03052,335.2688,-54.197773,0.95150834,0.037798908,0.9574327,0.9196338,0.9210943,2.653687,1.5658761,3.899441,2.3335648,3.899441,0.8241001,0.95720726,0.72645533,1.4106122,0.6841569,1.4106122,-2.1581538,1.2951245,-1.8821139,-3.1772385,-3.1772385,-0.4952125,0.8529048,0.18718278,0.4237825,3.3975596,2.985817,4.8214173,0.10190341,4.8897595,4.787856,4.8212023,6.1376104,1.0382085,6.7975326,5.759324,6.744437,3.1981652,0.4237825,3.3975596,2.973777,2.985817,4.8214173,0.10190341,4.8897595,4.787856,4.8212023,6.1376104,1.0382085,6.7975326,5.759324,6.744437,0,0,0,1.3920991,3.6292892,13.816054,14.16649,8.119752,13.731843,5.7535214,49.582157,150.97302,3.3555095,2.2099965,14.930289,0,0,44.635574,1.9543997,44.230553,0,0,12.720292,10.4717245,11.243475,9.63592,9.794897,44.635574,1.9543997,27.679039,9.222054,31.512102,22.290049,28.133251,0.31451404,47.696266,49.582157,43.828636,151.6455,1.8266958,-0.06215746,PEt3,"InChI=1S/C6H15P/c1-4-7(5-2)6-3/h4-6H2,1-3H3","InChI=1S/C7H5BFNO2/c9-7-3-6(8(11)12)2-1-5(7)4-10/h1-3,11-12H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",8.96
1.12,140.849,-0.018,7.329,0.02,121.305,114.841,-0.069,-0.183,13.5795,13.585,13.574,1.397,1.394,1.445,1.45,1.44,1.39,1.39,1.39,-0.15,-0.216,-0.261,-0.311,-0.013,-0.036,4-Bromo-2-fluorobenzonitrile,InChI=1S/C7H3BrFN/c8-6-2-1-5(4-10)7(9)3-6/h1-3H,0.2682756,-6.460826,-8.101426,-14.562252,35.180687,13.20263,4.1690216,1.822553,1.3232691,3.0264409,1.7031717,3.0264409,1.8030664,-0.7631259,-0.70873255,-0.22116992,-0.026455075,0.19471484,-0.1238125,0.054702327,0.8168067,0.7621044,1.138509,-0.470107,1.9517757,1.9507961,0.22955096,0.22684129,0.03824263,0.039959304,-0.3031474,1.898614,50.07663,303.05618,274.80524,329.30966,-54.18102,0.93330336,0.029826177,0.93599415,0.906168,0.906168,8.489678,4.78858,8.921689,4.1331096,4.1331096,3.72808,-1.0638942,0.8114794,-0.32562396,-1.1371033,-0.32562396,-5.3995748,2.9166007,-2.746101,-5.6627016,-2.746101,-0.38025722,0.75538105,0.045843933,0.090494566,4.3113847,4.3113847,6.380001,0.11130703,6.4812665,6.3699594,6.4812665,7.4661365,1.4199326,8.757967,7.3380346,8.757967,4.2129254,0.088283055,4.22089,4.132607,4.132607,6.039157,0.020518925,6.057825,6.037306,6.057825,7.030319,0.16567579,7.1810484,7.0153723,7.1810484,0,0,0,4.5444555,4.5444555,37.956604,4.808687,37.52278,42.331467,2.7894278,54.6914,328.99136,0.81585354,1.3910532,16.77422,0,0,105.218414,0.36025473,104.89066,0,0,15.383165,11.070849,11.113783,10.637897,10.637897,106.70298,1.992036,61.236927,1.4533873,62.559193,61.10581,62.559193,0.16511828,54.5958,54.86293,51.901974,330.6427,1.8334478,-0.054343015,PPh2(o-Anis),"InChI=1S/C19H17OP/c1-20-18-14-8-9-15-19(18)21(16-10-4-2-5-11-16)17-12-6-3-7-13-17/h2-15H,1H3","InChI=1S/C7H5BFNO2/c9-7-3-6(8(11)12)2-1-5(7)4-10/h1-3,11-12H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",60.12
1.12,140.849,-0.018,7.329,0.02,121.305,114.841,-0.069,-0.183,13.5795,13.585,13.574,1.397,1.394,1.445,1.45,1.44,1.39,1.39,1.39,-0.15,-0.216,-0.261,-0.311,-0.013,-0.036,4-Bromo-2-fluorobenzonitrile,InChI=1S/C7H3BrFN/c8-6-2-1-5(4-10)7(9)3-6/h1-3H,0.2546302,-10.874606,-8.922513,-19.79712,39.5176,13.063866,4.91419,1.0272336,3.0804343,3.7024546,0.6220202,2.8664875,1.7429034,-0.80615115,-0.61250407,-0.21157146,-0.013801556,0.1977699,-0.11268651,0.02222742,0.79822546,0.77599806,1.149663,-0.42988193,1.9536867,1.947043,0.22101288,0.21056078,0.034756258,0.038905744,-0.29456696,1.929904,51.48221,302.31842,277.9657,328.90097,-54.204533,0.92977583,0.08036266,0.94810367,0.86774105,0.8967178,8.33947,5.2794943,11.027605,5.748111,7.5961256,4.6488314,0.79300994,4.315333,1.8002514,-2.5150816,-0.87639827,-6.237584,4.4510574,-2.7554924,-7.2065496,-4.8791785,-0.34901664,0.711353,0.024510529,1.1607541,5.0852785,4.377169,8.613301,1.5658088,8.913189,7.34738,7.978501,7.7946815,4.132342,11.390273,7.257931,10.865994,4.619566,1.0547974,4.979322,3.9245243,4.377169,7.2387743,1.4437232,7.8130097,6.3692865,7.65352,7.338674,1.3371098,8.333428,6.996319,7.4832335,0,0,3.3464255,2.075075,5.7346954,119.24823,92.67092,83.55025,120.55588,24.383175,79.81089,427.98776,120.14141,6.2335916,22.395956,0.016911294,5.3142414,160.55019,80.27506,141.44847,0.010147465,5.3050094,16.162365,13.335343,19.41722,10.796874,11.0740385,209.52107,86.18029,64.13681,43.235077,89.270355,46.035275,72.84002,0.2032107,107.80939,130.47765,55.427715,530.54193,1.7952924,-0.06731862,RuPhos,"InChI=1S/C30H43O2P/c1-22(2)31-27-19-13-20-28(32-23(3)4)30(27)26-18-11-12-21-29(26)33(24-14-7-5-8-15-24)25-16-9-6-10-17-25/h11-13,18-25H,5-10,14-17H2,1-4H3","InChI=1S/C7H5BFNO2/c9-7-3-6(8(11)12)2-1-5(7)4-10/h1-3,11-12H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",46.26
1.12,140.849,-0.018,7.329,0.02,121.305,114.841,-0.069,-0.183,13.5795,13.585,13.574,1.397,1.394,1.445,1.45,1.44,1.39,1.39,1.39,-0.15,-0.216,-0.261,-0.311,-0.013,-0.036,4-Bromo-2-fluorobenzonitrile,InChI=1S/C7H3BrFN/c8-6-2-1-5(4-10)7(9)3-6/h1-3H,0.3066759,-4.07,-9.366358,-13.436358,36.15,10.02,5.43,2.1083374,0,2.1083374,2.1083374,2.1083374,1.7966065,-0.733877,-0.733046,-0.26032,-0.06878,0.19154,-0.16455,0.04488,0.81171,0.76683,1.17969,-0.50859,1.95235,1.95232,0.1937,0.19365,0.036006667,0.03602,-0.33802,1.89612,49.76,296.4885,284.7981,319.767,-54.146122,0.9332302,0,0.9332302,0.9332302,0.9332302,15.1575,0,15.1575,15.1575,15.1575,0,-5.4847183,0,-5.4847183,-5.4847183,-5.4847183,-6.865622,0,-6.865622,-6.865622,-6.865622,-0.42338,0.70079,0.02968,0,5.3101377,5.3101377,8.060535,0,8.060535,8.060535,8.060535,7.993808,0,7.993808,7.993808,7.993808,4.290043,0,4.290043,4.290043,4.290043,6.0275936,0,6.0275936,6.0275936,6.0275936,6.9033723,0,6.9033723,6.9033723,6.9033723,0,0,0,1.3513088,1.3513088,52.79361,0,52.79361,52.79361,0,50.576813,433.03357,0,0,13.860329,0,0,131.32588,0,131.32588,0,0,13.860329,11.471482,11.471482,11.471482,11.471482,131.32588,0,78.50172,0,78.50172,78.50172,78.50172,0.11676978,50.576813,50.576813,50.576813,433.1327,1.9001565,-0.0220091,P(p-CF3-Ph)3,"InChI=1S/C21H12F9P/c22-19(23,24)13-1-7-16(8-2-13)31(17-9-3-14(4-10-17)20(25,26)27)18-11-5-15(6-12-18)21(28,29)30/h1-12H","InChI=1S/C7H5BFNO2/c9-7-3-6(8(11)12)2-1-5(7)4-10/h1-3,11-12H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",78.46
1.12,140.849,-0.018,7.329,0.02,121.305,114.841,-0.069,-0.183,13.5795,13.585,13.574,1.397,1.394,1.445,1.45,1.44,1.39,1.39,1.39,-0.15,-0.216,-0.261,-0.311,-0.013,-0.036,4-Bromo-2-fluorobenzonitrile,InChI=1S/C7H3BrFN/c8-6-2-1-5(4-10)7(9)3-6/h1-3H,0.25113684,-11.450528,-7.729453,-19.179981,39.84293,13.08884,4.5327377,2.8323882,1.7352701,3.3915656,1.6562954,1.7139306,1.7795132,-0.86984634,-0.57284635,-0.20649439,-0.034822453,0.17167194,-0.12065842,0.020926964,0.7820933,0.76116633,0.9340469,-0.4423713,1.954294,1.9466465,0.20793214,0.19804376,0.03667573,0.039833043,-0.30627766,1.9257206,51.18598,302.94885,269.93448,339.02927,-54.192947,0.9246916,0.073044196,0.9504384,0.8773942,0.90978986,7.2356577,7.6900525,11.754629,4.0645766,11.453236,5.002016,0.8902599,2.9330587,2.1591737,-0.773885,1.7883105,-5.4716897,5.941154,-3.0128505,-8.954004,-8.843354,-0.35434508,0.73472697,0.015154505,1.0540293,4.7851696,4.7152743,7.3799515,2.33727,8.92638,6.58911,6.768005,8.054321,4.229355,11.545313,7.315958,10.845524,4.305467,0.8397273,4.5708675,3.7311404,4.5708675,7.0997477,1.7114416,8.04112,6.3296776,6.381519,7.3917503,1.2928959,8.289214,6.9963183,8.224756,0,0,0,2.2727509,3.082281,114.56111,87.52851,57.830555,76.07064,19.230003,77.19822,372.20844,115.282074,6.3465495,22.358303,0.13626003,0.8158056,127.961136,77.81989,111.99749,0.34191516,1.011203,16.011755,13.652231,16.81501,10.020812,12.649171,188.35825,53.871567,64.83912,41.66306,91.96013,50.29707,75.17692,0.20214312,92.14168,111.81871,57.96822,455.82574,1.7948476,-0.052881263,CM-Phos,"InChI=1S/C27H34NP/c1-28-25-18-10-8-12-21(25)20-26(28)24-17-9-11-19-27(24)29(22-13-4-2-5-14-22)23-15-6-3-7-16-23/h8-12,17-20,22-23H,2-7,13-16H2,1H3","InChI=1S/C7H5BFNO2/c9-7-3-6(8(11)12)2-1-5(7)4-10/h1-3,11-12H","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",76.77
